id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
0-polid-1918-district-20005,0,General,G,2,28154,,0,2012-11-06,2,2,,Barack,True,False,False,Obama,2016-09-13T14:20:29.497Z,district,True,P,President,Dem,1918,25228,588,0.9816,599,district-20005,At Large,False,,,Maine,ME,False,False,397754,0.559635,True
0-polid-893-district-20005,0,General,G,3,28155,,0,2012-11-06,2,0,,Mitt,False,False,False,Romney,2016-09-13T14:20:29.497Z,district,True,P,President,GOP,893,25229,588,0.9816,599,district-20005,At Large,False,,,Maine,ME,False,False,290437,0.408641,False
0-polid-31708-district-20005,0,General,G,1,28577,,0,2012-11-06,2,0,,Gary,False,False,False,Johnson,2016-09-13T14:20:29.497Z,district,True,P,President,Lib,31708,25275,588,0.9816,599,district-20005,At Large,False,,,Maine,ME,False,False,13446,0.018918,False
0-polid-895-district-20005,0,General,G,4,28578,,0,2012-11-06,2,0,,Jill,False,False,False,Stein,2016-09-13T14:20:29.497Z,district,True,P,President,Grn,895,25276,588,0.9816,599,district-20005,At Large,False,,,Maine,ME,False,False,9101,0.012805,False
0-polid-1918-district-20026,0,General,G,2,28154,,0,2012-11-06,1,1,,Barack,True,False,False,Obama,2016-09-13T14:20:29.497Z,district,True,P,President,Dem,1918,25228,175,1.0,175,district-20026,District 1,False,,,Maine,ME,False,False,220864,0.587034,True
0-polid-893-district-20026,0,General,G,3,28155,,0,2012-11-06,1,0,,Mitt,False,False,False,Romney,2016-09-13T14:20:29.497Z,district,True,P,President,GOP,893,25229,175,1.0,175,district-20026,District 1,False,,,Maine,ME,False,False,141725,0.376691,False
0-polid-31708-district-20026,0,General,G,1,28577,,0,2012-11-06,1,0,,Gary,False,False,False,Johnson,2016-09-13T14:20:29.497Z,district,True,P,President,Lib,31708,25275,175,1.0,175,district-20026,District 1,False,,,Maine,ME,False,False,8656,0.023007,False
0-polid-895-district-20026,0,General,G,4,28578,,0,2012-11-06,1,0,,Jill,False,False,False,Stein,2016-09-13T14:20:29.497Z,district,True,P,President,Grn,895,25276,175,1.0,175,district-20026,District 1,False,,,Maine,ME,False,False,4992,0.013268,False
0-polid-1918-district-20027,0,General,G,2,28154,,0,2012-11-06,1,1,,Barack,True,False,False,Obama,2016-09-13T14:20:29.497Z,district,True,P,President,Dem,1918,25228,413,0.9741,424,district-20027,District 2,False,,,Maine,ME,False,False,176890,0.528818,True
0-polid-893-district-20027,0,General,G,3,28155,,0,2012-11-06,1,0,,Mitt,False,False,False,Romney,2016-09-13T14:20:29.497Z,district,True,P,President,GOP,893,25229,413,0.9741,424,district-20027,District 2,False,,,Maine,ME,False,False,148712,0.444579,False
