first,last,party,state,district
Robert,Aderholt,GOP,AL,4
Justin,Amash,GOP,MI,3
Lou,Barletta,GOP,PA,11
Joe,Barton,GOP,TX,6
Karen,Bass,Dem,CA,37
Xavier,Becerra,Dem,CA,34
Dan,Benishek,GOP,MI,1
Gus,Bilirakis,GOP,FL,12
Rob,Bishop,GOP,UT,1
Sanford,Bishop,Dem,GA,2
Diane,Black,GOP,TN,6
Marsha,Blackburn,GOP,TN,7
Earl,Blumenauer,Dem,OR,3
Madeleine,Bordallo,Dem,GU,
Charles,Boustany,GOP,LA,3
Kevin,Brady,GOP,TX,8
Robert,Brady,Dem,PA,1
Mo,Brooks,GOP,AL,5
Corrine,Brown,Dem,FL,5
Vern,Buchanan,GOP,FL,16
Larry,Bucshon,GOP,IN,8
Michael,Burgess,GOP,TX,26
George,Butterfield,Dem,NC,1
Ken,Calvert,GOP,CA,42
Lois,Capps,Dem,CA,24
Michael,Capuano,Dem,MA,7
John,Carney,Dem,DE,
André,Carson,Dem,IN,7
John,Carter,GOP,TX,31
Kathy,Castor,Dem,FL,14
Steve,Chabot,GOP,OH,1
Jason,Chaffetz,GOP,UT,3
Judy,Chu,Dem,CA,27
David,Cicilline,Dem,RI,1
Yvette,Clarke,Dem,NY,9
Wm.,Clay,Dem,MO,1
Emanuel,Cleaver,Dem,MO,5
James,Clyburn,Dem,SC,6
Mike,Coffman,GOP,CO,6
Steve,Cohen,Dem,TN,9
Tom,Cole,GOP,OK,4
K.,Conaway,GOP,TX,11
Gerald,Connolly,Dem,VA,11
John,Conyers,Dem,MI,13
Jim,Cooper,Dem,TN,5
Jim,Costa,Dem,CA,16
Joe,Courtney,Dem,CT,2
Eric,Crawford,GOP,AR,1
Ander,Crenshaw,GOP,FL,4
Joseph,Crowley,Dem,NY,14
Henry,Cuellar,Dem,TX,28
John,Culberson,GOP,TX,7
Elijah,Cummings,Dem,MD,7
Danny,Davis,Dem,IL,7
Susan,Davis,Dem,CA,53
Peter,DeFazio,Dem,OR,4
Diana,DeGette,Dem,CO,1
Rosa,DeLauro,Dem,CT,3
Jeff,Denham,GOP,CA,10
Charles,Dent,GOP,PA,15
Scott,DesJarlais,GOP,TN,4
Theodore,Deutch,Dem,FL,21
Mario,Diaz-Balart,GOP,FL,25
Lloyd,Doggett,Dem,TX,35
Michael,Doyle,Dem,PA,14
Sean,Duffy,GOP,WI,7
Jeff,Duncan,GOP,SC,3
John,Duncan,GOP,TN,2
Donna,Edwards,Dem,MD,4
Keith,Ellison,Dem,MN,5
Renee,Ellmers,GOP,NC,2
Eliot,Engel,Dem,NY,16
Anna,Eshoo,Dem,CA,18
