first,last,party,state
Kelly,Ayotte,GOP,NH
Michael,Bennet,Dem,CO
Richard,Blumenthal,Dem,CT
Roy,Blunt,GOP,MO
John,Boozman,GOP,AR
Barbara,Boxer,Dem,CA
Richard,Burr,GOP,NC
Daniel,Coats,GOP,IN
Michael,Crapo,GOP,ID
Charles,Grassley,GOP,IA
John,Hoeven,GOP,ND
John,Isakson,GOP,GA
Ron,Johnson,GOP,WI
Mark,Kirk,GOP,IL
James,Lankford,GOP,OK
Patrick,Leahy,Dem,VT
Mike,Lee,GOP,UT
John,McCain,GOP,AZ
Barbara,Mikulski,Dem,MD
Jerry,Moran,GOP,KS
Lisa,Murkowski,GOP,AK
Patty,Murray,Dem,WA
Rand,Paul,GOP,KY
Robert,Portman,GOP,OH
Harry,Reid,Dem,NV
Marco,Rubio,GOP,FL
Charles,Schumer,Dem,NY
Tim,Scott,GOP,SC
Richard,Shelby,GOP,AL
John,Thune,GOP,SD
Patrick,Toomey,GOP,PA
David,Vitter,GOP,LA
Ron,Wyden,Dem,OR
Brian,Schatz,Dem,HI
